SampleID	run	experiment	waste	type	type_detail	waste_detail	Day	system	replicate	others	BSFL_detail	treatment_detail	Cluster	name
MG096-redo	2b	4	wine	larvae				open	3				1	WWP
MG097-redo	2b	4	wine	larvae				open	4				1	WWP
MG111-redo	2b	4	5DOL	5DOL					2	5DOL				
ZymoMock319F-1	2a		mock	Mock319					1					
ZymoMock319F-2	2a		mock	Mock319					2					
ZymoMock319F-3	2a		mock	Mock319					3					
ZymoMock341F-1	2a		mock	Mock341					1					
ZymoMock341F-2	2a		mock	Mock341					2					
ZymoMock341F-3	2a		mock	Mock341					3					
0CR1	1		C	waste	waste	CW	0		1	Canteen waste	with BSFL			
0CRR	1		CF	poulty_feed_residue	poulty_feed_residue		0		1					
0HR1	1		H	waste	waste	HW	0		1	Household waste	with BSFL			
0L3	1		initital_larvae	larvae	initital_larvae	L0	0		2					
0SR1	1		S	waste	waste	S-CW	0		1	Sterile canteen waste	with BSFL			
12CL1	1		C	larvae	larvae	CW	12		1	Canteen waste				
12CL2	1		C	larvae	larvae	CW	12		2	Canteen waste				
12CL3	1		C	larvae	larvae	CW	12		3	Canteen waste				
12CL4g	1		C	larvae	larvae	CW	12		4	Canteen waste				
12CL4	1		C	larvae	larvae	CW	12		4	Canteen waste				
12CO1	1		C	residue	No_larvae	CW-0	12		1	Canteen waste	without BSFL			
12CO3	1		C	residue	No_larvae	CW-0	12		2	Canteen waste	without BSFL			
12CR1	1		C	residue	residue	CW	12		1	Canteen waste	with BSFL			
12CR2	1		C	residue	residue	CW	12		2	Canteen waste	with BSFL			
12CR3	1		C	residue	residue	CW	12		3	Canteen waste	with BSFL			
12CR4	1		C	residue	residue	CW	12		4	Canteen waste	with BSFL			
12H01	1		H	residue	No_larvae	HW-0	12		1	Household waste	without BSFL			
12HL1	1		H	larvae	larvae	HW	12		1	Household waste				
12HL2	1		H	larvae	larvae	HW	12		2	Household waste				
12HL3g	1		H	larvae	larvae	HW	12		3	Household waste				
12HL3-strich	1		H	larvae	larvae	HW	12		3	Household waste				
12HR1	1		H	residue	residue	HW	12		1	Household waste	with BSFL			
12HR2	1		H	residue	residue	HW	12		2	Household waste	with BSFL			
12HR3	1		H	residue	residue	HW	12		3	Household waste	with BSFL			
12S02	1		S	residue	No_larvae	S-CW-0	12		2	Sterile canteen waste	without BSFL			
12SL1	1		S	larvae	larvae	S-CW	12		1	Sterile canteen waste				
12SL3	1		S	larvae	larvae	S-CW	12		3	Sterile canteen waste				
12SO1	1		S	residue	No_larvae	S-CW-0	12		1	Sterile canteen waste	without BSFL			
12SO3	1		S	residue	No_larvae	S-CW-0	12		3	Sterile canteen waste	without BSFL			
12SR1	1		S	residue	residue	S-CW	12		1	Sterile canteen waste	with BSFL			
12SR3	1		S	residue	residue	S-CW	12		3	Sterile canteen waste	with BSFL			
3CL1	1		C	larvae	larvae	CW	3		1	Canteen waste				
3CL2	1		C	larvae	larvae	CW	3		2	Canteen waste				
3CL3	1		C	larvae	larvae	CW	3		3	Canteen waste				
3CR1	1		C	residue	residue	CW	3		1	Canteen waste	with BSFL			
3CR2	1		C	residue	residue	CW	3		2	Canteen waste	with BSFL			
3CR3	1		C	residue	residue	CW	3		3	Canteen waste	with BSFL			
3HL1	1		H	larvae	larvae	HW	3		1	Household waste				
3HL2	1		H	larvae	larvae	HW	3		2	Household waste				
3HR1	1		H	residue	residue	HW	3		1	Household waste	with BSFL			
3HR2	1		H	residue	residue	HW	3		2	Household waste	with BSFL			
3SL1	1		S	larvae	larvae	S-CW	3		1	Sterile canteen waste				
3SL2	1		S	larvae	larvae	S-CW	3		2	Sterile canteen waste				
3SL3	1		S	larvae	larvae	S-CW	3		3	Sterile canteen waste				
3SR1	1		S	residue	residue	S-CW	3		1	Sterile canteen waste	with BSFL			
3SR2	1		S	residue	residue	S-CW	3		2	Sterile canteen waste	with BSFL			
3SR3	1		S	residue	residue	S-CW	3		3	Sterile canteen waste	with BSFL			
6CL1	1		C	larvae	larvae	CW	6		1	Canteen waste				
6CL2	1		C	larvae	larvae	CW	6		2	Canteen waste				
6CL3	1		C	larvae	larvae	CW	6		3	Canteen waste				
6CR1	1		C	residue	residue	CW	6		1	Canteen waste	with BSFL			
6CR2	1		C	residue	residue	CW	6		2	Canteen waste	with BSFL			
6CR3	1		C	residue	residue	CW	6		3	Canteen waste	with BSFL			
6HL1	1		H	larvae	larvae	HW	6		1	Household waste				
6HL2	1		H	larvae	larvae	HW	6		2	Household waste				
6HL3	1		H	larvae	larvae	HW	6		3	Household waste				
6HR1	1		H	residue	residue	HW	6		1	Household waste	with BSFL			
6HR2	1		H	residue	residue	HW	6		2	Household waste	with BSFL			
6HR3	1		H	residue	residue	HW	6		3	Household waste	with BSFL			
6SL1	1		S	larvae	larvae	S-CW	6		1	Sterile canteen waste				
6SL2	1		S	larvae	larvae	S-CW	6		2	Sterile canteen waste				
6SL3	1		S	larvae	larvae	S-CW	6		3	Sterile canteen waste				
6SR1	1		S	residue	residue	S-CW	6		1	Sterile canteen waste	with BSFL			
6SR2	1		S	residue	residue	S-CW	6		2	Sterile canteen waste	with BSFL			
6SR3	1		S	residue	residue	S-CW	6		3	Sterile canteen waste	with BSFL			
9CL1	1		C	larvae	larvae	CW	9		1	Canteen waste				
9CL2	1		C	larvae	larvae	CW	9		2	Canteen waste				
9CL3	1		C	larvae	larvae	CW	9		3	Canteen waste				
9CR1	1		C	residue	residue	CW	9		1	Canteen waste	with BSFL			
9CR2	1		C	residue	residue	CW	9		2	Canteen waste	with BSFL			
9CR3	1		C	residue	residue	CW	9		3	Canteen waste	with BSFL			
9HL1	1		H	larvae	larvae	HW	9		1	Household waste				
9HL2	1		H	larvae	larvae	HW	9		2	Household waste				
9HL3	1		H	larvae	larvae	HW	9		3	Household waste				
9HR1	1		H	residue	residue	HW	9		1	Household waste	with BSFL			
9HR2	1		H	residue	residue	HW	9		2	Household waste	with BSFL			
9HR3	1		H	residue	residue	HW	9		3	Household waste	with BSFL			
9SR3	1		S	residue	residue	S-CW	9		3	Sterile canteen waste	with BSFL			
C-day-1	1		Control	control_DNA	control_DNA		NA		6					
C-day-2a	1		Control	control_DNA	control_DNA		NA		3					
C-day-2b	1		Control	control_DNA	control_DNA		NA		4					
C-day-2c	1		Control	control_DNA	control_DNA		NA		5					
C-day-3	1		Control	control_DNA	control_DNA		NA		2					
C-day-4	1		Control	control_DNA	control_DNA		NA		1					
CF	1		CF	residue	waste		0		1					
Mock1-L	1		Mock1_GDC	Mock	Mock		NA		1					
Mock1-R	1		Mock1_GDC	Mock	Mock		NA		2					
NC01	1		Control	control_lib_prep	control_lib_prep_larvae		NA		1					
NC02	1		Control	control_lib_prep	control_lib_prep_larvae		NA		2					
NC03	1		Control	control_lib_prep	control_lib_prep_larvae		NA		3					
NC04	1		Control	control_lib_prep	control_lib_prep_residue		NA		4					
NC05	1		Control	control_lib_prep	control_lib_prep_residue		NA		5					
NC06	1		Control	control_lib_prep	control_lib_prep_larvae		NA		6					
NC07	1		Control	control_lib_prep	control_lib_prep_larvae		NA		7					
NC08	1		Control	control_lib_prep	control_lib_prep_larvae		NA		8					
NC09	1		Control	control_lib_prep	control_lib_prep_residue		NA		9					
NC10	1		Control	control_lib_prep	control_lib_prep_residue		NA		10					
NC11	1		Control	control_lib_prep	control_lib_prep_residue		NA		11					
NC12	1		Control	control_lib_prep	control_lib_prep_larvae		NA		12					
NC13	1		Control	control_lib_prep	control_lib_prep_larvae		NA		13					
OL1	1		initital_larvae	larvae	initital_larvae	L0	0		1					
12SL2	1		S	larvae	larvae				2					
12SR2	1		S	residue	residue				2					
9SL1	1		S	larvae	larvae				1					
9SR1	1		S	residue	residue				1					
9SL2	1		S	larvae	larvae				2					
9SR2	1		S	residue	residue				2					
